"Part";"Value";"Device";"Package";"Description";"DESCRIPTION";"DESIGNER";"DIGIKEY_PART";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MANU_PART";"MOUSER_PART";"MOUSER_PART_NUMBER";"PACKAGE";"PROD_ID";"REV";"VALUE";
"1V8";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";"";"";
"3V0";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";"";"";
"C1";"2.2uF";"2.2UF-0402_TIGHT-10V-10%-X5R";"0402-TIGHT";"2.2µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14232";"";"2.2uF";
"C2";"10nF";"10NF-0402T-25V-10%";"0402-TIGHT";"0.01uF/10nF/10,000pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14847";"";"10nF";
"C3";"1.0uF";"1.0UF-0402T-16V-10%";"0402-TIGHT";"1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-12417";"";"1.0uF";
"C4";"1.0uF";"1.0UF-0402T-16V-10%";"0402-TIGHT";"1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-12417";"";"1.0uF";
"C5";"22pF";"22PF-0402T-16V-10%";"0402-TIGHT";"22pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14674";"";"22pF";
"C6";"0.1uF";"0.1UF-0402T-6.3V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14993";"";"0.1uF";
"C7";"22pF";"22PF-0402T-16V-10%";"0402-TIGHT";"22pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14674";"";"22pF";
"C8";"0.1uF";"0.1UF-0402T-6.3V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14993";"";"0.1uF";
"C9";"1.0uF";"1.0UF-0402T-16V-10%";"0402-TIGHT";"1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-12417";"";"1.0uF";
"C10";"47nF";"47NF-0402_TIGHT-25V-10%-X7R";"0402-TIGHT";"47nF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14243";"";"47nF";
"C11";"100pF";"100PF-0402T-50V-5%";"0402-TIGHT";"100pF/0.1nF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-13458";"";"100pF";
"C12";"1.0uF";"1.0UF-0402T-16V-10%";"0402-TIGHT";"1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-12417";"";"1.0uF";
"C13";"10uF";"10UF-0402T-6.3V-20%";"0402-TIGHT";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14848";"";"10uF";
"C14";"10uF";"10UF-0402T-6.3V-20%";"0402-TIGHT";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14848";"";"10uF";
"C15";"2.2uF";"2.2UF-0402_TIGHT-10V-10%-X5R";"0402-TIGHT";"2.2µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14232";"";"2.2uF";
"C16";"2.2uF";"2.2UF-0402_TIGHT-10V-10%-X5R";"0402-TIGHT";"2.2µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14232";"";"2.2uF";
"C17";"1.0nF";"1.0NF/1000PF-0402_TIGHT-50V-10%";"0402-TIGHT";"1nF/1,000pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14280";"";"1.0nF";
"C18";"22pF";"22PF-0402T-16V-10%";"0402-TIGHT";"22pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14674";"";"22pF";
"C19";"100pF";"100PF-0402T-50V-5%";"0402-TIGHT";"100pF/0.1nF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-13458";"";"100pF";
"C20";"2.2uF";"2.2UF-0402_TIGHT-10V-10%-X5R";"0402-TIGHT";"2.2µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14232";"";"2.2uF";
"C21";"100pF";"100PF-0402T-50V-5%";"0402-TIGHT";"100pF/0.1nF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-13458";"";"100pF";
"C22";"100pF";"100PF-0402T-50V-5%";"0402-TIGHT";"100pF/0.1nF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-13458";"";"100pF";
"C23";"1.0uF";"1.0UF-0402T-16V-10%";"0402-TIGHT";"1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-12417";"";"1.0uF";
"C24";"100pF";"100PF-0402T-50V-5%";"0402-TIGHT";"100pF/0.1nF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-13458";"";"100pF";
"C25";"100pF";"100PF-0402T-50V-5%";"0402-TIGHT";"100pF/0.1nF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-13458";"";"100pF";
"C26";"0.1uF";"0.1UF-0402T-6.3V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14993";"";"0.1uF";
"C27";"22pF";"22PF-0402T-16V-10%";"0402-TIGHT";"22pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14674";"";"22pF";
"C28";"9.1pF";"9.1PF-0402-TIGHT";"0402-TIGHT";"9.1pF ceramic capacitors";"";"";"";"";"";"";"609-500R07S9R1CV4T";"";"";"CAP-15278";"";"9.1pF";
"C29";"2.4 pF";"2.4PF-0402";"0402_MURATA";"";"";"";"";"";"";"";"";"";"";"CAP-14351";"";"2.4 pF";
"C30";"100pF";"100PF-0402T-50V-5%";"0402-TIGHT";"100pF/0.1nF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-13458";"";"100pF";
"C31";"100pF";"100PF-0402T-50V-5%";"0402-TIGHT";"100pF/0.1nF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-13458";"";"100pF";
"C32";"0.1uF";"0.1UF-0402T-6.3V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14993";"";"0.1uF";
"C33";"22pF";"22PF-0402T-16V-10%";"0402-TIGHT";"22pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14674";"";"22pF";
"C34";"22pF";"22PF-0402T-16V-10%";"0402-TIGHT";"22pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14674";"";"22pF";
"C35";"0.1uF";"0.1UF-0402T-6.3V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14993";"";"0.1uF";
"C36";"100pF";"100PF-0402T-50V-5%";"0402-TIGHT";"100pF/0.1nF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-13458";"";"100pF";
"C37";"100pF";"100PF-0402T-50V-5%";"0402-TIGHT";"100pF/0.1nF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-13458";"";"100pF";
"C38";"0.1uF";"0.1UF-0402T-6.3V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14993";"";"0.1uF";
"C39";"22pF";"22PF-0402T-16V-10%";"0402-TIGHT";"22pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14674";"";"22pF";
"C40";"22pF";"22PF-0402T-16V-10%";"0402-TIGHT";"22pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14674";"";"22pF";
"C41";"0.1uF";"0.1UF-0402T-6.3V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14993";"";"0.1uF";
"C42";"100pF";"100PF-0402T-50V-5%";"0402-TIGHT";"100pF/0.1nF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-13458";"";"100pF";
"C43";"100pF";"100PF-0402T-50V-5%";"0402-TIGHT";"100pF/0.1nF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-13458";"";"100pF";
"C44";"2.2uF";"2.2UF-0402_TIGHT-10V-10%-X5R";"0402-TIGHT";"2.2µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14232";"";"2.2uF";
"C45";"2.2uF";"2.2UF-0402_TIGHT-10V-10%-X5R";"0402-TIGHT";"2.2µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14232";"";"2.2uF";
"C46";"1.0uF";"1.0UF-0402T-16V-10%";"0402-TIGHT";"1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-12417";"";"1.0uF";
"C47";"100pF";"100PF-0402T-50V-5%";"0402-TIGHT";"100pF/0.1nF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-13458";"";"100pF";
"C48";"2.2uF";"2.2UF-0402_TIGHT-10V-10%-X5R";"0402-TIGHT";"2.2µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14232";"";"2.2uF";
"C49";"0.1uF";"0.1UF-0402T-10V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-15083";"";"0.1uF";
"C50";"0.1uF";"0.1UF-0402T-6.3V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14993";"";"0.1uF";
"C51";"0.1uF";"0.1UF-0402T-10V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-15083";"";"0.1uF";
"C52";"2.2uF";"2.2UF-0402_TIGHT-10V-10%-X5R";"0402-TIGHT";"2.2µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14232";"";"2.2uF";
"C53";"2.2uF";"2.2UF-0402_TIGHT-10V-10%-X5R";"0402-TIGHT";"2.2µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14232";"";"2.2uF";
"CS0";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";"";"";
"FD1";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";"";"";"";"";"";"";"";
"FD2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";"";"";"";"";"";"";"";
"FD3";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";"";"";"";"";"";"";"";
"FD4";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";"";"";"";"";"";"";"";
"FLSH_CEN";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";"";"";
"FLSH_SCLK";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";"";"";
"FLSH_SI";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";"";"";
"FLSH_SO";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";"";"";
"FRAME1";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame - Ledger";"";"";"";"";"";"";"";"";"";"";"";"";
"G16";"JUMPER-SMT_2_NC_TRACE_NO-SILK";"JUMPER-SMT_2_NC_TRACE_NO-SILK";"SMT-JUMPER_2_NC_TRACE_NO-SILK";"Normally closed trace jumper";"";"";"";"";"";"";"";"";"";"";"";"";
"GPIO0";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";"";"";
